d%,Anello minore inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
01-07,Anello della Prigione del Prigioniero,Anello minore inferiore,Anello,250 mo,-,Guida del Giocatore
08-16,Anello dei Sigilli Arcani,Anello minore inferiore,Anello,1.000 mo,-,Guida del Giocatore
17-23,Anello della Conoscenza degli Incantesimi I,Anello minore inferiore,Anello,1.500 mo,-,Guida all'Equipaggiamento
26-40,Anello di Protezione +1,Anello minore inferiore,Anello,2.000 mo,-,Manuale di Gioco
41-47,Anello dell'Avida Tomba,Anello minore inferiore,Anello,2.000 mo,-,Guida all'Equipaggiamento
-,Anello della Magia di Stirpe Persistente,Anello minore inferiore,Anello,2.000 mo,-,Guida alle Classi
48-57,Anello della Caduta Morbida,Anello minore inferiore,Anello,2.200 mo,-,Manuale di Gioco
58-66,Anello dello Scalare,Anello minore inferiore,Anello,2.500 mo,-,Manuale di Gioco
67-75,Anello del Saltare,Anello minore inferiore,Anello,2.500 mo,-,Manuale di Gioco
76-84,Anello del Sostentamento,Anello minore inferiore,Anello,2.500 mo,-,Manuale di Gioco
85-93,Anello del Nuotare,Anello minore inferiore,Anello,2.500 mo,-,Manuale di Gioco
-,Anello dell'Armonizzazione Naturale (Leshy),Anello minore inferiore,Anello,2.800 mo,-,Guida alle Classi
94-100,Anello dell'Azione Intensa,Anello minore inferiore,Anello,3.000 mo,-,Guida alle Razze
-,Anello della Magia di Stirpe Poderosa,Anello minore inferiore,Anello,3.000 mo,-,Guida alle Classi
-,Anello dell'Eloquenza,Anello minore inferiore,Anello,3.500 mo,-,Guida alle Classi
d%,Anello minore superiore,Prezzo,Peso,Fonte,,
01-15,Anello dei Controincantesimi,Anello minore superiore,Anello,4.000 mo,-,Manuale di Gioco
-,Anello della Magia di Stirpe Ancestrale,Anello minore superiore,Anello,4.000 mo,-,Guida alle Classi
16-25,Anello dei Folli Congegni,Anello minore superiore,Anello,5.000 mo,-,Guida del Giocatore
26-35,Anello delle Zanne di Ratto,Anello minore superiore,Anello,5.000 mo,-,Guida alle Razze
-,Anello della Magia di Stirpe Vendicativa,Anello minore superiore,Anello,5.400 mo,-,Guida alle Classi
36-52,Anello di Vischio Sacro,Anello minore superiore,Anello,6.000 mo,-,Guida all'Equipaggiamento
53-69,Anello della Conoscenza degli Incantesimi II,Anello minore superiore,Anello,6.000 mo,-,Guida all'Equipaggiamento
70-86,Anello del Nugolo di Colpi,Anello minore superiore,Anello,6.000 mo,-,Guida alle Razze
87-100,Anello della Padronanza della Grinta,Anello minore superiore,Anello,6.840 mo,-,Guida all'Equipaggiamento
-,Anello dell'AffinitÃ di Evocazione (Arconti),Anello minore superiore,Anello,7.000 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Angeli),Anello minore superiore,Anello,7.200 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Protean),Anello minore superiore,Anello,7.200 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Kyton),Anello minore superiore,Anello,7.300 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Asura),Anello minore superiore,Anello,7.600 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Psicopompi),Anello minore superiore,Anello,7.600 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Agathion),Anello minore superiore,Anello,7.700 mo,-,Guida alle Classi
-,Anello dell'Armonizzazione Naturale (Kami),Anello minore superiore,Anello,7.800 mo,-,Guida alle Classi
-,Anello dell'AffinitÃ di Evocazione (Eoni),Anello minore superiore,Anello,7.800 mo,-,Guida alle Classi
d%,Anello medio inferiore,Prezzo,Peso,Fonte,,
01-02,Anello delle Zanne di Forza,Anello medio inferiore,Anello,8.000 mo,-,Guida del Giocatore
03-06,Anello dello Scudo Mentale,Anello medio inferiore,Anello,8.000 mo,-,Manuale di Gioco
07-11,Anello di Protezione +2,Anello medio inferiore,Anello,8.000 mo,-,Manuale di Gioco
12-13,Anello Fiacca Forze,Anello medio inferiore,Anello,8.000 mo,-,Guida all'Equipaggiamento
-,Anello dell'AffinitÃ di Evocazione (Inevitabili),Anello medio inferiore,Anello,8.100 mo,-,Guida alle Classi
14-17,Anello dello Scudo di Forza,Anello medio inferiore,Anello,8.500 mo,-,Manuale di Gioco
-,Anello dell'AffinitÃ di Evocazione (Qlippoth),Anello medio inferiore,Anello,8.600 mo,-,Guida alle Classi
18-22,Anello dell'Ariete,Anello medio inferiore,Anello,8.600 mo,-,Manuale di Gioco
23-24,Anello dello Studioso,Anello medio inferiore,Anello,8.700 mo,-,Guida all'Equipaggiamento
-,Anello dell'AffinitÃ di Evocazione (Div),Anello medio inferiore,Anello,9.100 mo,-,Guida alle Classi
25-27,Anello dello Scalare Migliorato,Anello medio inferiore,Anello,10.000 mo,-,Manuale di Gioco
28-29,Anello della Cura,Anello medio inferiore,Anello,10.000 mo,-,Guida all'Equipaggiamento
30-31,Anello Focalizza Nemico,Anello medio inferiore,Anello,10.000 mo,-,Guida all'Equipaggiamento
32-35,Anello del Saltare Migliorato,Anello medio inferiore,Anello,10.000 mo,-,Manuale di Gioco
36-37,Anello della Padronanza Ki,Anello medio inferiore,Anello,10.000 mo,-,Guida all'Equipaggiamento
38-40,Anello della Rivelazione Minore,Anello medio inferiore,Anello,10.000 mo,-,Guida del Giocatore
41-43,Anello del Nuotare Migliorato,Anello medio inferiore,Anello,10.000 mo,-,Manuale di Gioco
-,Anello dell'AffinitÃ di Evocazione (Daemon),Anello medio inferiore,Anello,10.600 mo,-,Guida alle Classi
44-46,Anello dell'Amicizia con gli Animali,Anello medio inferiore,Anello,10.800 mo,-,Manuale di Gioco
47-48,Anello della Trasposizione,Anello medio inferiore,Anello,10.800 mo,-,Guida all'Equipaggiamento
49-50,Anello della Precisione Tattica,Anello medio inferiore,Anello,11.000 mo,-,Guida all'Equipaggiamento
51-52,Anello della Ricercatezza,Anello medio inferiore,Anello,11.000 mo,-,Guida alle Razze
53-55,Anello Adescatore,Anello medio inferiore,Anello,12.000 mo,-,Guida all'Equipaggiamento
56-58,Anello della Magia Artigiana,Anello medio inferiore,Anello,12.000 mo,-,Guida alle Razze
59-61,Anello del Ringiovanimento Ectoplasmatico,Anello medio inferiore,Anello,12.000 mo,-,Guida all'Equipaggiamento
62-64,Anello della Resistenza all'Energia Minore,Anello medio inferiore,Anello,12.000 mo,-,Manuale di Gioco
65-67,Anello del Troglodita,Anello medio inferiore,Anello,12.000 mo,-,Guida all'Equipaggiamento
68-70,Cerchio delle Mani d'Acciaio,Anello medio inferiore,Anello,12.000 mo,-,Guida all'Equipaggiamento
71-76,Anello del Potere del Camaleonte,Anello medio inferiore,Anello,12.700 mo,-,Manuale di Gioco
-,Anello dell'Armonizzazione Naturale (Drachi),Anello medio inferiore,Anello,12.888 mo,-,Guida alle Classi
77-79,Anello della Conoscenza degli Incantesimi III,Anello medio inferiore,Anello,13.500 mo,-,Guida all'Equipaggiamento
80-82,Anello dell'Andatura nel Mare,Anello medio inferiore,Anello,14.000 mo,-,Guida all'Equipaggiamento
83-85,Anello del Castigo,Anello medio inferiore,Anello,15.000 mo,-,Guida del Giocatore
86-89,Anello del Camminare sull'Acqua,Anello medio inferiore,Anello,15.000 mo,-,Manuale di Gioco
-,Anello della Resilienza,Anello medio inferiore,Anello,15.000 mo,-,Guida alle Classi
90-95,Anello della Prigione del Carceriere,Anello medio inferiore,Anello,16.000 mo,-,Guida del Giocatore
96-100,Anello della Rivelazione Maggiore,Anello medio inferiore,Anello,16.000 mo,-,Guida del Giocatore
d%,Anello medio superiore,Prezzo,Peso,Fonte,,
01-04,Anello della Tempra Interiore Minore,Anello medio superiore,Anello,18.000 mo,-,Guida all'Equipaggiamento
05-16,Anello di Protezione +3,Anello medio superiore,Anello,18.000 mo,-,Manuale di Gioco
17-26,Anello Accumula Incantesimi Minore,Anello medio superiore,Anello,18.000 mo,-,Manuale di Gioco
27-30,Anello del Sudario di Energia,Anello medio superiore,Anello,19.500 mo,-,Guida all'Equipaggiamento
31-35,Anello della Padronanza Arcana,Anello medio superiore,Anello,20.000 mo,-,Guida all'Equipaggiamento
36-46,Anello dell'InvisibilitÃ,Anello medio superiore,Anello,20.000 mo,-,Manuale di Gioco
47-54,Anello della Stregoneria I,Anello medio superiore,Anello,20.000 mo,-,Manuale di Gioco
55-60,Anello della Rivelazione Superiore,Anello medio superiore,Anello,24.000 mo,-,Guida del Giocatore
61-68,Anello della Conoscenza degli Incantesimi IV,Anello medio superiore,Anello,24.000 mo,-,Guida all'Equipaggiamento
69-80,Anello di Eludere,Anello medio superiore,Anello,25.000 mo,-,Manuale di Gioco
81-88,Anello della Visione a Raggi X,Anello medio superiore,Anello,25.000 mo,-,Manuale di Gioco
89-100,Anello dell'Intermittenza,Anello medio superiore,Anello,27.000 mo,-,Manuale di Gioco
d%,Anello maggiore inferiore,Prezzo,Peso,Fonte,,
01-09,Anello della Resistenza all'Energia Maggiore,Anello maggiore inferiore,Anello,28.000 mo,-,Manuale di Gioco
10-16,Anello dell'Ecclesiarca,Anello maggiore inferiore,Anello,28.500 mo,-,Guida all'Equipaggiamento
-,Anello degli Incantesimi Trascendenti,Anello maggiore inferiore,Anello,30.000 mo,-,Avventure Mitiche
-,Anello dell'Attenuazione dell'Energia,Anello maggiore inferiore,Anello,31.500 mo,-,Avventure Mitiche
17-33,Anello di Protezione +4,Anello maggiore inferiore,Anello,32.000 mo,-,Manuale di Gioco
34-39,Anello del Ritorno,Anello maggiore inferiore,Anello,33.600 mo,-,Guida all'Equipaggiamento
40-55,Anello della LibertÃ di Movimento,Anello maggiore inferiore,Anello,40.000 mo,-,Manuale di Gioco
56-70,Anello della Stregoneria II,Anello maggiore inferiore,Anello,40.000 mo,-,Manuale di Gioco
71-75,Anello della Tempra Interiore Maggiore,Anello maggiore inferiore,Anello,42.000 mo,-,Guida all'Equipaggiamento
76-92,Anello della Resistenza all'Energia Superiore,Anello maggiore inferiore,Anello,44.000 mo,-,Manuale di Gioco
93-100,Anello del Destino Ritardato,Anello maggiore inferiore,Anello,45.000 mo,-,Guida del Giocatore
d%,Anello maggiore superiore,Prezzo,Peso,Fonte,,
-,Anello della Padronanza Parapsichica,Anello maggiore superiore,Anello,50.000 mo,-,Avventure Occulte
01-06,Anello dello Scudo Amico,Anello maggiore superiore,Anello,50.000 mo,-,Manuale di Gioco
07-18,Anello di Protezione +5,Anello maggiore superiore,Anello,50.000 mo,-,Manuale di Gioco
19-27,Anello delle Stelle Cadenti,Anello maggiore superiore,Anello,50.000 mo,-,Manuale di Gioco
28-37,Anello Accumula Incantesimi,Anello maggiore superiore,Anello,50.000 mo,-,Manuale di Gioco
38-43,Anello della Continuazione,Anello maggiore superiore,Anello,56.000 mo,-,Guida all'Equipaggiamento
44-48,Anello della Tempra Interiore Superiore,Anello maggiore superiore,Anello,66.000 mo,-,Guida all'Equipaggiamento
49-57,Anello della Stregoneria III,Anello maggiore superiore,Anello,70.000 mo,-,Manuale di Gioco
58-63,Anelli Spiritualisti,Anello maggiore superiore,Anello,70.000 mo,-,Guida all'Equipaggiamento
64-71,Anello della Telecinesi,Anello maggiore superiore,Anello,75.000 mo,-,Manuale di Gioco
72-76,Anello della Rigenerazione,Anello maggiore superiore,Anello,90.000 mo,-,Manuale di Gioco
77-82,Anello Rifletti Incantesimo,Anello maggiore superiore,Anello,100.000 mo,-,Manuale di Gioco
83-86,Anello della Stregoneria IV,Anello maggiore superiore,Anello,100.000 mo,-,Manuale di Gioco
87-90,Anello dei Tre Desideri,Anello maggiore superiore,Anello,120.000 mo,-,Manuale di Gioco
91-93,Anello del Richiamo del Djinni,Anello maggiore superiore,Anello,125.000 mo,-,Manuale di Gioco
-,Anello della Psiche Nascosta,Anello maggiore superiore,Anello,160.000 mo,-,Avventure Occulte
94-97,Anello del Comando degli Elementi,Anello maggiore superiore,Anello,200.000 mo,-,Manuale di Gioco
98-100,Anello Accumula Incantesimi Maggiore,Anello maggiore superiore,Anello,200.000 mo,-,Manuale di Gioco
